epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.065,1.2575,2.15209,1.22309,0.81536,0.22879,0.23986,0.18796,1.27764,2.22295,1.30476,5.78125e-05,5.78125e-05,5.78125e-05
2,397.717,1.1816,1.57202,1.16484,0.65005,0.26128,0.26056,0.20026,1.16064,1.97767,1.18658,0.000112313,0.000112313,0.000112313
3,582.144,1.13244,1.40802,1.11669,0.76747,0.25859,0.28186,0.2212,1.09407,1.81632,1.15787,0.000162964,0.000162964,0.000162964
4,765.17,1.1013,1.32477,1.09459,0.76017,0.2881,0.28662,0.22911,1.10467,1.72765,1.14183,0.000157675,0.000157675,0.000157675
5,949.256,1.08573,1.28958,1.07626,0.72834,0.29426,0.29229,0.23248,1.04818,1.64157,1.11663,0.0001519,0.0001519,0.0001519
6,1133.39,1.07999,1.27652,1.08652,0.64822,0.29935,0.2947,0.23305,1.04673,1.64819,1.11797,0.000146125,0.000146125,0.000146125
7,1318.11,1.03561,1.22422,1.06354,0.62949,0.31233,0.29551,0.23522,1.01735,1.57293,1.11319,0.00014035,0.00014035,0.00014035
8,1501.43,1.04116,1.23345,1.07455,0.59415,0.32961,0.30381,0.24366,0.98172,1.54444,1.09651,0.000134575,0.000134575,0.000134575
9,1684.71,1.0234,1.22248,1.06167,0.60584,0.32179,0.30582,0.24335,0.98221,1.5258,1.08336,0.0001288,0.0001288,0.0001288
10,1868.55,1.01973,1.18506,1.0493,0.64164,0.29817,0.31354,0.23671,0.97286,1.51632,1.07415,0.000123025,0.000123025,0.000123025
11,2050.98,1.04347,1.21389,1.05796,0.58219,0.29135,0.30818,0.24014,0.95477,1.47988,1.079,0.00011725,0.00011725,0.00011725
12,2234.42,1.00877,1.16639,1.04736,0.5605,0.30525,0.31577,0.2481,0.94225,1.44729,1.06502,0.000111475,0.000111475,0.000111475
13,2417.1,0.96724,1.1501,1.0337,0.6016,0.2866,0.33063,0.26315,0.93134,1.41989,1.06307,0.0001057,0.0001057,0.0001057
14,2599.8,0.99443,1.16181,1.03842,0.53249,0.35914,0.33787,0.26451,0.93971,1.42617,1.07017,9.9925e-05,9.9925e-05,9.9925e-05
15,2782.01,0.93063,1.07995,1.01757,0.54601,0.3624,0.34382,0.27313,0.92396,1.40835,1.05329,9.415e-05,9.415e-05,9.415e-05
16,2965.16,0.96139,1.14642,1.03879,0.56828,0.33244,0.34591,0.27228,0.92899,1.38814,1.05304,8.8375e-05,8.8375e-05,8.8375e-05
17,3148.04,0.97035,1.11869,1.02605,0.5531,0.36195,0.35216,0.28042,0.92007,1.38858,1.05182,8.26e-05,8.26e-05,8.26e-05
18,3331.7,0.94291,1.09377,1.02024,0.55728,0.35284,0.35392,0.28691,0.8912,1.38223,1.04927,7.6825e-05,7.6825e-05,7.6825e-05
19,3514.64,0.95355,1.10577,1.02734,0.61759,0.33463,0.35222,0.28156,0.86572,1.34515,1.03488,7.105e-05,7.105e-05,7.105e-05
20,3697.38,0.93283,1.06666,1.01021,0.58903,0.34449,0.36225,0.2895,0.86245,1.32733,1.02736,6.5275e-05,6.5275e-05,6.5275e-05
