epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4007,2.87997,5.47403,1.95689,0.72666,0.37851,0.40325,0.24889,1.37237,14.9048,1.07727,5.8198e-05,5.8198e-05,5.8198e-05
2,119.785,1.59327,1.89945,1.28897,0.69786,0.45817,0.46579,0.29837,1.07531,7.28103,0.8946,0.000114224,0.000114224,0.000114224
3,178.822,1.37469,1.51608,1.16837,0.78493,0.46631,0.50301,0.3523,0.888,4.32165,0.85429,0.00016794,0.00016794,0.00016794
4,237.773,1.23314,1.29309,1.10237,0.61856,0.50327,0.51734,0.38075,0.72973,3.23183,0.81668,0.000164605,0.000164605,0.000164605
5,296.396,1.12832,1.13648,1.06036,0.78609,0.53182,0.56058,0.42075,0.69763,2.73992,0.7853,0.00016114,0.00016114,0.00016114
6,354.935,1.0972,1.0946,1.05139,0.72437,0.57897,0.58593,0.44207,0.72391,2.20403,0.78781,0.000157675,0.000157675,0.000157675
7,413.659,1.01888,0.98046,1.02837,0.75937,0.56761,0.58962,0.4424,0.68361,1.97076,0.77053,0.00015421,0.00015421,0.00015421
8,472.683,0.99219,0.9639,1.02131,0.80476,0.56572,0.59927,0.4558,0.68017,1.8063,0.76568,0.000150745,0.000150745,0.000150745
9,531.703,0.98592,0.93181,1.01176,0.74576,0.5752,0.58737,0.45257,0.66233,1.56525,0.76119,0.00014728,0.00014728,0.00014728
10,590.378,0.91793,0.88022,1.00474,0.73472,0.6062,0.61193,0.48433,0.5862,1.43377,0.75345,0.000143815,0.000143815,0.000143815
11,649.378,0.91731,0.83414,0.98067,0.75139,0.58849,0.61887,0.48994,0.57445,1.44195,0.75706,0.00014035,0.00014035,0.00014035
12,709.232,0.89658,0.81346,0.98316,0.81287,0.60767,0.63727,0.50588,0.55659,1.21053,0.73814,0.000136885,0.000136885,0.000136885
13,768.242,0.88331,0.80731,0.97262,0.80613,0.58292,0.63355,0.50373,0.54433,1.14188,0.73659,0.00013342,0.00013342,0.00013342
14,826.972,0.87751,0.79308,0.97952,0.78809,0.60239,0.64156,0.50538,0.54609,1.08008,0.72903,0.000129955,0.000129955,0.000129955
15,885.614,0.85518,0.75696,0.96432,0.7573,0.63565,0.63734,0.501,0.54264,1.07065,0.73006,0.00012649,0.00012649,0.00012649
16,944.271,0.84337,0.75794,0.96148,0.85177,0.57987,0.65049,0.51411,0.53654,1.0297,0.73361,0.000123025,0.000123025,0.000123025
17,1003.24,0.83861,0.74571,0.95837,0.65267,0.61325,0.62889,0.48937,0.58794,0.97577,0.73458,0.00011956,0.00011956,0.00011956
18,1061.61,0.82927,0.72135,0.95508,0.82139,0.60579,0.65876,0.52662,0.50739,0.97525,0.73755,0.000116095,0.000116095,0.000116095
19,1120.11,0.80693,0.70666,0.94592,0.7409,0.64269,0.65812,0.52966,0.50057,0.83679,0.72206,0.00011263,0.00011263,0.00011263
20,1178.58,0.79747,0.70155,0.94855,0.70058,0.60581,0.64746,0.52303,0.5462,0.86625,0.72112,0.000109165,0.000109165,0.000109165
21,1237.06,0.79263,0.67894,0.94727,0.71159,0.64628,0.66247,0.54043,0.47858,0.83622,0.71491,0.0001057,0.0001057,0.0001057
22,1295.64,0.79044,0.68359,0.93892,0.66226,0.64938,0.6571,0.52539,0.50296,0.83414,0.72675,0.000102235,0.000102235,0.000102235
23,1353.86,0.77241,0.68464,0.93815,0.79613,0.62734,0.70507,0.55849,0.49177,0.76999,0.71289,9.877e-05,9.877e-05,9.877e-05
24,1412.32,0.77252,0.65608,0.93397,0.83244,0.63459,0.68784,0.55537,0.50445,0.77337,0.71914,9.5305e-05,9.5305e-05,9.5305e-05
25,1470.52,0.75461,0.62974,0.92719,0.79861,0.65725,0.68253,0.55729,0.47833,0.69179,0.71002,9.184e-05,9.184e-05,9.184e-05
26,1528.8,0.74374,0.63988,0.92798,0.79779,0.67006,0.68446,0.56395,0.48448,0.67522,0.70517,8.8375e-05,8.8375e-05,8.8375e-05
27,1587.39,0.74414,0.62038,0.92736,0.81022,0.62751,0.68546,0.56378,0.49633,0.73816,0.71043,8.491e-05,8.491e-05,8.491e-05
28,1645.66,0.73132,0.61062,0.9201,0.76829,0.65763,0.6784,0.55821,0.47889,0.69559,0.7067,8.1445e-05,8.1445e-05,8.1445e-05
29,1703.94,0.71771,0.60471,0.91727,0.78196,0.6309,0.67523,0.56168,0.45608,0.69556,0.70422,7.798e-05,7.798e-05,7.798e-05
30,1762.34,0.71849,0.61199,0.92126,0.80929,0.63188,0.6865,0.56891,0.45165,0.67683,0.7026,7.4515e-05,7.4515e-05,7.4515e-05
31,1820.9,0.71347,0.59461,0.91555,0.73403,0.729,0.72518,0.58366,0.46247,0.66283,0.70323,7.105e-05,7.105e-05,7.105e-05
32,1879.32,0.70711,0.5863,0.91286,0.82142,0.66169,0.70713,0.56787,0.44683,0.65834,0.70105,6.7585e-05,6.7585e-05,6.7585e-05
33,1937.64,0.69519,0.57459,0.90869,0.87952,0.62707,0.69967,0.57371,0.43029,0.6431,0.69581,6.412e-05,6.412e-05,6.412e-05
34,1995.93,0.68404,0.57091,0.90914,0.89116,0.63929,0.71287,0.58738,0.4523,0.64392,0.69637,6.0655e-05,6.0655e-05,6.0655e-05
35,2054.43,0.68893,0.576,0.91124,0.7335,0.74044,0.75477,0.60045,0.44375,0.59981,0.69311,5.719e-05,5.719e-05,5.719e-05
36,2112.88,0.67303,0.56125,0.90624,0.84597,0.66339,0.72437,0.59224,0.42656,0.60964,0.6892,5.3725e-05,5.3725e-05,5.3725e-05
37,2171.26,0.66612,0.54519,0.89785,0.86292,0.65487,0.71473,0.58988,0.42395,0.58778,0.69101,5.026e-05,5.026e-05,5.026e-05
38,2229.49,0.66728,0.55171,0.90293,0.86518,0.66034,0.7336,0.60055,0.42409,0.57884,0.69274,4.6795e-05,4.6795e-05,4.6795e-05
39,2287.99,0.66203,0.54469,0.90277,0.89757,0.6675,0.75313,0.6184,0.42202,0.57818,0.69358,4.333e-05,4.333e-05,4.333e-05
40,2346.4,0.65071,0.53175,0.89865,0.87004,0.68004,0.76346,0.61771,0.40939,0.57864,0.68941,3.9865e-05,3.9865e-05,3.9865e-05
41,2405.32,0.60609,0.50322,0.87481,0.87532,0.66516,0.74951,0.61201,0.42255,0.6222,0.68805,3.64e-05,3.64e-05,3.64e-05
42,2463.57,0.59411,0.48832,0.87766,0.85458,0.68221,0.75793,0.60779,0.42613,0.58833,0.68804,3.2935e-05,3.2935e-05,3.2935e-05
43,2521.9,0.58059,0.47168,0.87484,0.71146,0.74842,0.74972,0.59614,0.43022,0.56754,0.68439,2.947e-05,2.947e-05,2.947e-05
44,2580.12,0.57565,0.45712,0.86816,0.77151,0.74611,0.7507,0.60936,0.42636,0.55772,0.68852,2.6005e-05,2.6005e-05,2.6005e-05
45,2638.39,0.56827,0.4594,0.86315,0.73737,0.75994,0.7575,0.6138,0.41443,0.54916,0.68418,2.254e-05,2.254e-05,2.254e-05
46,2696.79,0.55721,0.45261,0.87033,0.89069,0.67291,0.75744,0.62248,0.40013,0.53799,0.68251,1.9075e-05,1.9075e-05,1.9075e-05
47,2755.24,0.55299,0.44609,0.86679,0.85558,0.69053,0.76206,0.62531,0.3902,0.50618,0.68134,1.561e-05,1.561e-05,1.561e-05
48,2813.67,0.54655,0.44138,0.86641,0.71715,0.76702,0.76506,0.62503,0.38575,0.50693,0.67799,1.2145e-05,1.2145e-05,1.2145e-05
49,2871.98,0.53363,0.42977,0.86302,0.86026,0.69129,0.7627,0.62231,0.37966,0.50154,0.68044,8.68e-06,8.68e-06,8.68e-06
50,2930.29,0.53724,0.43153,0.86169,0.75501,0.7638,0.76669,0.62603,0.37861,0.51491,0.67865,5.215e-06,5.215e-06,5.215e-06
